"","unigram","bigram","frequency"
"1303","best","way",1478
"1304","god","for",1478
"1305","bottle","of",1478
"1306","read","this",1477
"1307","having","the",1474
"1308","kids","and",1473
"1309","man","is",1473
"1310","while","we",1472
"1311","saturday","night",1472
"1312","above","the",1469
"1313","says","that",1469
"1314","playing","with",1468
"1315","episode","of",1466
"1316","ton","of",1466
"1317","line","of",1464
"1318","least","i",1464
"1319","better","to",1462
"1320","waking","up",1461
"1321","place","for",1461
"1322","very","very",1461
"1323","u","r",1460
"1324","unless","you",1460
"1325","around","to",1457
"1326","takes","a",1456
"1327","while","you",1454
"1328","told","the",1453
"1329","especially","when",1453
"1330","right","and",1452
"1331","problem","is",1451
"1332","months","ago",1449
"1333","continues","to",1448
"1334","wouldnt","have",1447
"1335","old","and",1445
"1336","following","the",1442
"1337","awkward","moment",1441
"1338","friend","of",1440
"1339","upon","the",1439
"1340","myself","and",1438
"1341","tonight","i",1438
"1342","advantage","of",1437
"1343","knew","i",1436
"1344","man","and",1433
"1345","super","bowl",1433
"1346","friend","and",1431
"1347","sound","like",1430
"1348","became","a",1429
"1349","enjoyed","the",1428
"1350","beyond","the",1425
"1351","grow","up",1425
"1352","plans","for",1424
"1353","yes","we",1420
"1354","first","and",1419
"1355","heart","of",1416
"1356","hate","it",1414
"1357","money","and",1413
"1358","please","dont",1413
"1359","goes","on",1411
"1360","around","in",1411
"1361","story","is",1411
"1362","head","and",1411
"1363","range","of",1409
"1364","times","and",1408
"1365","doing","this",1404
"1366","help","but",1401
"1367","most","likely",1400
"1368","proud","to",1398
"1369","leave","a",1397
"1370","plans","to",1397
"1371","everyone","has",1397
"1372","hear","it",1396
"1373","night","in",1395
"1374","death","of",1395
"1375","tomorrow","is",1394
"1376","loss","of",1394
"1377","depends","on",1392
"1378","nature","of",1391
"1379","living","room",1390
"1380","watched","the",1389
"1381","enjoy","it",1387
"1382","tries","to",1385
"1383","effort","to",1384
"1384","book","i",1384
"1385","sitting","on",1382
"1386","eyes","and",1382
"1387","pray","for",1381
"1388","power","to",1380
"1389","beautiful","and",1379
"1390","ill","take",1378
"1391","ill","get",1375
"1392","guess","what",1372
"1393","yet","but",1371
"1394","else","is",1371
"1395","times","i",1371
"1396","long","and",1370
"1397","kids","are",1369
"1398","afraid","to",1367
"1399","available","for",1366
"1400","send","you",1362
"1401","shes","a",1360
"1402","photos","of",1359
"1403","size","of",1358
"1404","th","and",1358
"1405","three","years",1355
"1406","half","the",1355
"1407","yesterday","i",1354
"1408","quality","of",1354
"1409","talked","to",1354
"1410","hate","the",1354
"1411","pieces","of",1353
"1412","lives","in",1353
"1413","learn","how",1352
"1414","save","the",1351
"1415","understand","that",1351
"1416","book","of",1351
"1417","finally","got",1347
"1418","sound","of",1346
"1419","place","and",1346
"1420","lets","do",1346
"1421","mean","i",1345
"1422","since","we",1345
"1423","collection","of",1344
"1424","enjoying","the",1344
"1425","those","that",1343
"1426","went","out",1342
"1427","cost","of",1342
"1428","saw","it",1339
"1429","asked","to",1338
"1430","show","the",1338
"1431","everything","in",1338
"1432","bring","it",1337
"1433","wanna","be",1336
"1434","new","jersey",1336
"1435","idea","what",1335
"1436","far","more",1333
"1437","real","life",1333
"1438","heard","the",1332
"1439","tonight","and",1331
"1440","issue","of",1329
"1441","word","of",1329
"1442","prior","to",1327
"1443","since","it",1327
"1444","worth","the",1326
"1445","tells","me",1326
"1446","april","th",1326
"1447","click","on",1324
"1448","role","in",1324
"1449","remember","when",1321
"1450","knew","it",1320
"1451","lot","to",1320
"1452","decide","to",1320
"1453","designed","to",1318
"1454","game","and",1317
"1455","real","estate",1316
"1456","long","day",1315
"1457","theres","nothing",1315
"1458","led","to",1314
"1459","congratulations","to",1312
"1460","lets","see",1312
"1461","different","from",1312
"1462","course","the",1311
"1463","beat","the",1310
"1464","anything","else",1309
"1465","write","about",1308
"1466","source","of",1307
"1467","weekend","and",1306
"1468","th","century",1305
"1469","husband","and",1303
"1470","twitter","and",1302
"1471","st","louis",1302
"1472","nice","and",1300
"1473","caught","up",1300
"1474","least","one",1298
"1475","done","and",1298
"1476","president","of",1297
"1477","working","in",1296
"1478","millions","of",1296
"1479","email","me",1295
"1480","either","way",1294
"1481","car","and",1293
"1482","sounds","good",1290
"1483","dm","me",1289
"1484","act","like",1289
"1485","director","of",1287
"1486","bring","the",1287
"1487","mean","that",1286
"1488","speaking","of",1286
"1489","bad","for",1285
"1490","wonder","how",1285
"1491","id","rather",1285
"1492","music","is",1284
"1493","afraid","of",1284
"1494","world","to",1283
"1495","set","in",1282
"1496","merry","christmas",1282
"1497","head","of",1281
"1498","south","africa",1281
"1499","little","girl",1280
"1500","minutes","of",1280
"1501","question","is",1280
"1502","days","to",1280
"1503","probably","the",1279
"1504","failed","to",1279
"1505","weekend","i",1278
"1506","words","of",1276
"1507","anyone","know",1274
"1508","live","with",1273
"1509","key","to",1272
"1510","possible","to",1270
"1511","beer","and",1269
"1512","appears","to",1268
"1513","seen","in",1266
"1514","myself","i",1264
"1515","play","in",1264
"1516","isnt","that",1262
"1517","support","the",1262
"1518","build","a",1260
"1519","sent","to",1260
"1520","twitter","is",1260
"1521","show","is",1259
"1522","live","on",1258
"1523","become","the",1258
"1524","grateful","for",1258
"1525","wish","to",1257
"1526","share","the",1256
"1527","gets","a",1255
"1528","miss","my",1254
"1529","impossible","to",1252
"1530","tickets","to",1252
"1531","liked","it",1250
"1532","their","way",1247
"1533","playing","the",1247
"1534","trust","me",1247
"1535","hear","about",1246
"1536","capable","of",1245
"1537","house","of",1243
"1538","writing","a",1242
"1539","feeling","of",1242
"1540","tweet","me",1241
"1541","past","few",1240
"1542","within","a",1240
"1543","glass","of",1239
"1544","asked","if",1239
"1545","liked","the",1238
"1546","mean","to",1237
"1547","saw","that",1236
"1548","left","in",1236
"1549","department","of",1236
"1550","change","in",1236
"1551","watching","a",1235
"1552","tune","in",1234
"1553","story","and",1234
"1554","part","in",1234
"1555","decision","to",1233
"1556","woman","who",1231
"1557","theyre","not",1230
"1558","already","know",1228
"1559","any","time",1228
"1560","obsessed","with",1228
"1561","comment","on",1227
"1562","added","to",1226
"1563","face","of",1226
"1564","reason","why",1224
"1565","luck","to",1223
"1566","mind","and",1223
"1567","same","as",1222
"1568","sold","out",1222
"1569","stand","up",1222
"1570","beginning","to",1221
"1571","ever","had",1221
"1572","done","in",1217
"1573","call","for",1217
"1574","doesnt","matter",1216
"1575","yet","another",1215
"1576","minutes","to",1215
"1577","born","in",1214
"1578","chance","of",1214
"1579","act","of",1214
"1580","health","care",1213
"1581","person","i",1211
"1582","call","the",1210
"1583","whether","or",1210
"1584","combination","of",1208
"1585","wondering","if",1208
"1586","believe","the",1206
"1587","forget","the",1206
"1588","says","the",1206
"1589","week","in",1204
"1590","seen","it",1204
"1591","until","they",1204
"1592","post","on",1203
"1593","wait","till",1202
"1594","worried","about",1200
"1595","given","to",1198
"1596","th","birthday",1197
"1597","through","it",1196
"1598","olive","oil",1195
"1599","isnt","the",1195
"1600","already","have",1195
"1601","bed","and",1195
"1602","meeting","you",1195
"1603","maybe","a",1194
"1604","hard","for",1193
"1605","knowing","that",1191
"1606","shouldnt","be",1190
"1607","importance","of",1189
"1608","course","of",1188
"1609","associated","with",1188
"1610","under","a",1188
"1611","fall","in",1187
"1612","meeting","with",1187
"1613","wow","i",1186
"1614","parking","lot",1186
"1615","youd","like",1185
"1616","worse","than",1185
"1617","received","a",1184
"1618","cut","the",1183
"1619","salt","and",1182
"1620","again","for",1180
"1621","women","and",1180
"1622","lol","im",1180
"1623","far","away",1179
"1624","open","the",1179
"1625","school","i",1179
"1626","sick","of",1177
"1627","between","and",1176
"1628","money","for",1173
"1629","set","the",1172
"1630","maybe","its",1172
"1631","corner","of",1172
"1632","working","out",1171
"1633","meet","the",1169
"1634","plan","on",1168
"1635","refuse","to",1167
"1636","past","the",1167
"1637","morning","to",1166
"1638","interesting","to",1164
"1639","son","of",1164
"1640","house","in",1163
"1641","play","a",1163
"1642","catching","up",1162
"1643","ever","since",1162
"1644","center","of",1161
"1645","point","i",1161
"1646","fuck","you",1160
"1647","later","i",1160
"1648","ever","been",1160
"1649","person","to",1159
"1650","went","back",1159
"1651","gotta","love",1157
"1652","returned","to",1157
"1653","three","of",1156
"1654","truth","is",1155
"1655","light","of",1153
"1656","hand","and",1153
"1657","girl","who",1153
"1658","reading","this",1152
"1659","following","you",1151
"1660","justin","bieber",1150
"1661","light","and",1149
"1662","another","one",1147
"1663","their","first",1146
"1664","job","and",1146
"1665","asked","for",1145
"1666","creating","a",1145
"1667","gotta","get",1145
"1668","better","and",1144
"1669","sit","down",1143
"1670","missed","the",1142
"1671","control","of",1142
"1672","although","the",1141
"1673","person","in",1141
"1674","fact","i",1140
"1675","remember","to",1140
"1676","apart","from",1140
"1677","seen","a",1138
"1678","sorts","of",1138
"1679","moment","of",1137
"1680","shall","be",1137
"1681","searching","for",1137
"1682","care","for",1135
"1683","support","of",1134
"1684","away","the",1134
"1685","five","years",1134
"1686","doesnt","make",1133
"1687","familiar","with",1132
"1688","value","of",1129
"1689","wife","and",1127
"1690","together","in",1127
"1691","anything","that",1126
"1692","interview","with",1125
"1693","school","in",1125
"1694","surrounded","by",1125
"1695","edge","of",1124
"1696","change","your",1123
"1697","please","please",1123
"1698","visit","the",1123
"1699","de","mayo",1122
"1700","peanut","butter",1122
"1701","ones","that",1122
"1702","someone","is",1120
"1703","times","a",1120
"1704","gonna","get",1119
"1705","yes","you",1117
"1706","everything","you",1117
"1707","women","in",1116
"1708","anyone","have",1116
"1709","means","to",1114
"1710","cuz","i",1114
"1711","toward","the",1113
"1712","participate","in",1112
"1713","works","for",1112
"1714","search","for",1111
"1715","myself","in",1111
"1716","turn","to",1110
"1717","cell","phone",1109
"1718","sent","me",1108
"1719","again","the",1108
"1720","york","city",1107
"1721","cinco","de",1106
"1722","tomorrow","and",1106
"1723","okay","i",1105
"1724","whatever","you",1105
"1725","taught","me",1105
"1726","done","it",1105
"1727","becoming","a",1103
"1728","kids","to",1103
"1729","lost","in",1101
"1730","opposed","to",1100
"1731","figured","out",1100
"1732","understand","why",1099
"1733","late","to",1098
"1734","plan","for",1096
"1735","gives","me",1095
"1736","risk","of",1095
"1737","available","in",1093
"1738","coffee","and",1093
"1739","weather","is",1093
"1740","times","in",1092
"1741","sign","of",1092
"1742","body","and",1090
"1743","known","for",1090
"1744","paid","for",1087
"1745","learn","from",1087
"1746","learned","that",1087
"1747","comes","in",1086
"1748","miss","it",1085
"1749","turned","into",1085
"1750","women","who",1085
"1751","tomorrow","at",1084
"1752","leaving","the",1084
"1753","w","the",1083
"1754","hours","and",1082
"1755","las","vegas",1082
"1756","hard","time",1081
"1757","section","of",1081
"1758","name","and",1080
"1759","photo","of",1079
"1760","started","with",1079
"1761","asking","for",1079
"1762","added","a",1077
"1763","nothing","more",1076
"1764","anything","but",1075
"1765","aspects","of",1075
"1766","case","you",1075
"1767","mother","and",1075
"1768","hair","and",1074
"1769","spirit","of",1074
"1770","enough","of",1073
"1771","might","as",1073
"1772","chose","to",1072
"1773","bad","i",1071
"1774","hell","yeah",1070
"1775","respond","to",1070
"1776","signed","up",1070
"1777","hate","you",1069
"1778","referred","to",1067
"1779","answer","to",1066
"1780","inside","of",1066
"1781","thoughts","and",1064
"1782","probably","not",1064
"1783","written","by",1063
"1784","tuned","for",1061
"1785","available","to",1061
"1786","created","a",1061
"1787","provide","a",1060
"1788","friends","with",1060
"1789","checking","out",1060
"1790","seem","like",1060
"1791","thoughts","on",1060
"1792","spend","the",1059
"1793","cut","out",1058
"1794","facebook","page",1058
"1795","forget","about",1056
"1796","maybe","you",1055
"1797","starts","at",1055
"1798","author","of",1055
"1799","fall","asleep",1054
"1800","noticed","that",1053
"1801","lol","rt",1050
"1802","face","and",1049
"1803","mad","at",1049
